epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,1113.42,0.57803,0.3751,0.87095,0.93195,0.89491,0.93999,0.72194,0.97071,0.56815,1.15097,0.000518781,0.000518781,0.000518781
105,1123.64,0.55846,0.37365,0.86209,0.93844,0.87154,0.91233,0.71362,0.95343,0.52464,1.1681,0.00051775,0.00051775,0.00051775
106,1133.78,0.5609,0.37856,0.8671,0.9427,0.85696,0.91407,0.70959,0.93136,0.51692,1.13294,0.000516719,0.000516719,0.000516719
107,1144.2,0.56662,0.37457,0.86685,0.92783,0.8179,0.89805,0.69881,1.02253,0.55793,1.17385,0.000515688,0.000515688,0.000515688
108,1154.63,0.56722,0.37566,0.86237,0.93394,0.81536,0.89678,0.69474,0.87109,0.65015,1.06676,0.000514656,0.000514656,0.000514656
109,1164.72,0.57913,0.38261,0.87468,0.95754,0.83902,0.90283,0.70387,1.07034,0.53934,1.1748,0.000513625,0.000513625,0.000513625
110,1174.68,0.5604,0.37254,0.86999,0.93785,0.84606,0.90074,0.69157,1.00342,0.57607,1.13672,0.000512594,0.000512594,0.000512594
111,1184.82,0.54698,0.36964,0.86115,0.94355,0.83829,0.89363,0.70125,1.0518,0.54454,1.15544,0.000511562,0.000511562,0.000511562
112,1195.04,0.54471,0.35913,0.8687,0.91215,0.86093,0.90747,0.71295,1.00357,0.57398,1.15807,0.000510531,0.000510531,0.000510531
113,1205.14,0.54655,0.35946,0.86221,0.94395,0.83818,0.90054,0.70468,1.04633,0.53485,1.17704,0.0005095,0.0005095,0.0005095
114,1215.47,0.54267,0.36218,0.86282,0.91582,0.84932,0.90291,0.69516,0.9971,0.55776,1.16602,0.000508469,0.000508469,0.000508469
115,1225.47,0.52925,0.36001,0.86339,0.9505,0.82586,0.90068,0.7084,0.95776,0.53441,1.13561,0.000507438,0.000507438,0.000507438
116,1235.68,0.54832,0.36262,0.86872,0.90447,0.84426,0.90246,0.69606,1.03045,0.55703,1.16411,0.000506406,0.000506406,0.000506406
117,1245.84,0.54795,0.3731,0.86937,0.91247,0.87723,0.91529,0.70189,1.11118,0.52005,1.23289,0.000505375,0.000505375,0.000505375
118,1255.95,0.52453,0.35441,0.86143,0.91518,0.8682,0.89737,0.70217,1.16062,0.55902,1.27066,0.000504344,0.000504344,0.000504344
119,1266.12,0.54297,0.35275,0.85612,0.9274,0.84871,0.90209,0.7085,0.97872,0.61455,1.15896,0.000503313,0.000503313,0.000503313
120,1276.16,0.55561,0.36505,0.86139,0.9381,0.83886,0.90946,0.71006,0.94308,0.5132,1.10401,0.000502281,0.000502281,0.000502281
121,1286.11,0.53946,0.36216,0.87071,0.91875,0.85026,0.90431,0.69843,0.93972,0.6206,1.12455,0.00050125,0.00050125,0.00050125
122,1296.16,0.53248,0.35563,0.85251,0.93117,0.82266,0.90616,0.71199,0.99726,0.66402,1.19794,0.000500219,0.000500219,0.000500219
123,1306.67,0.52675,0.34944,0.85957,0.93734,0.84506,0.89821,0.69539,1.0102,0.57111,1.16262,0.000499187,0.000499187,0.000499187
124,1316.79,0.55069,0.35711,0.86093,0.93985,0.86419,0.91279,0.71372,1.01962,0.52278,1.16549,0.000498156,0.000498156,0.000498156
125,1327.08,0.52606,0.34791,0.86374,0.93704,0.86005,0.90868,0.71069,1.02612,0.5069,1.16589,0.000497125,0.000497125,0.000497125
126,1337.14,0.52457,0.34803,0.85374,0.94528,0.85787,0.92348,0.70631,1.0545,0.539,1.19928,0.000496094,0.000496094,0.000496094
127,1347.55,0.5339,0.35236,0.85793,0.95201,0.82412,0.90236,0.70222,0.95296,0.54394,1.12576,0.000495063,0.000495063,0.000495063
128,1358.09,0.52501,0.35069,0.85354,0.92128,0.85278,0.90244,0.7055,1.03885,0.55942,1.17323,0.000494031,0.000494031,0.000494031
129,1370.41,0.52738,0.34928,0.86976,0.93472,0.86249,0.91137,0.7183,1.02719,0.52954,1.15968,0.000493,0.000493,0.000493
130,1380.73,0.52493,0.34867,0.85778,0.93395,0.84045,0.8963,0.70257,0.98419,0.55318,1.18634,0.000491969,0.000491969,0.000491969
131,1390.97,0.53242,0.35202,0.86169,0.94718,0.85528,0.9131,0.7074,1.0468,0.58132,1.18529,0.000490937,0.000490937,0.000490937
132,1401.97,0.52333,0.34319,0.85306,0.93452,0.82648,0.89033,0.69138,1.09647,0.56923,1.17746,0.000489906,0.000489906,0.000489906
133,1412.53,0.5199,0.34468,0.85296,0.93197,0.84495,0.8996,0.69839,1.03315,0.54225,1.17655,0.000488875,0.000488875,0.000488875
134,1422.83,0.51502,0.34711,0.85774,0.95097,0.85324,0.92246,0.72616,0.99931,0.52443,1.18276,0.000487844,0.000487844,0.000487844
135,1434.21,0.52538,0.3494,0.86272,0.93279,0.83578,0.90771,0.71814,1.02046,0.51523,1.16729,0.000486812,0.000486812,0.000486812
